query,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29
안성재두바이,100,100,100,100,100,100,100,100,100,100,100,100,210,100,100,100,100,100,100,100,100,100,100
안세영,100,100,100,100,100,800,600,450,290,100,100,100,100,100,100,100,100,100,100,100,100,100,100
알디원,100,100,100,100,100,100,100,100,100,100,280,290,100,100,100,100,100,100,100,100,100,100,100
알파드라이브원,100,100,100,100,100,100,100,200,100,100,260,100,270,100,100,100,100,100,100,100,100,100,100
야차의세계,100,100,100,100,100,100,100,100,100,100,100,100,100,2450,2750,2700,1700,400,100,100,100,100,100
언더커버미스홍,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,500,450,100,100,100,100
언텔,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,550,100,100,100,100,100
에이핑크,100,100,100,350,500,500,350,350,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
엑시인피니티코인,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,750,100,100,100,100,100,100
엔드필드,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,800,1000,800,800,750,700,450,100
엔하이픈,100,100,100,100,100,100,100,100,100,100,100,100,170,100,100,100,100,100,100,100,100,100,100
우니,100,100,100,100,100,240,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
우리기술,100,100,100,100,100,100,100,100,100,100,100,100,100,100,450,550,500,400,100,100,100,100,100
운동많이된다,100,100,100,100,100,100,100,100,100,100,100,100,100,2250,1600,1450,950,100,100,100,100,100,100
울프,100,100,100,100,100,100,100,100,100,100,100,100,100,300,100,100,100,100,100,100,100,100,100
유병장수girl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1350
유병장수걸,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1150
유퀴즈임성근,100,100,100,100,100,100,100,100,550,100,100,100,100,100,100,100,100,100,100,100,100,100,100
윤석열,100,100,100,280,350,350,400,750,900,400,100,100,200,100,100,100,100,100,100,100,100,100,100
윤석열구형,100,100,100,100,100,100,2350,5100,5100,1600,450,450,400,300,100,100,100,100,100,100,100,100,100
윤석열사형,100,100,100,100,100,100,100,1700,100,1300,100,100,100,100,100,100,100,100,100,100,100,100,100
윤석열재판,100,100,100,1000,1100,1250,1400,2050,1450,100,100,100,100,100,100,100,100,100,100,100,100,100,100
윤석열재판생중계,100,100,100,100,100,100,100,100,100,280,100,100,100,100,100,100,100,100,100,100,100,100,100
은애하는도적님아,100,100,100,100,100,350,100,240,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
이란,100,100,100,100,100,210,100,350,400,400,350,300,250,100,100,100,100,100,100,100,100,100,100
이란시위,100,100,100,100,100,100,100,100,550,500,400,300,100,100,100,100,100,100,100,100,100,100,100
이사랑통역되나요,100,100,100,100,100,100,100,100,100,100,400,700,950,1200,1300,1300,1200,100,100,100,100,100,100
이재명,100,170,170,170,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
